# Numero de nodos n =4 
99 0.109 0.770995162 0.9496507565 0.1786555945
100 0.12 0.7352941176 0.9390960212 0.2038019036
101 0.131 0.6997778205 0.9275756297 0.2277978092
102 0.142 0.6648494116 0.9151028743 0.2502534627
103 0.153 0.6308252772 0.9016922125 0.2708669353
104 0.164 0.5979430758 0.8873592666 0.2894161908
105 0.175 0.5663716814 0.8721208244 0.3057491429
106 0.186 0.5362217813 0.8559948382 0.3197730569
107 0.197 0.5075562436 0.839000426 0.3314441824
108 0.208 0.4803996925 0.8211578703 0.3407581778
109 0.219 0.4547469901 0.8024886191 0.347741629
110 0.23 0.4305705059 0.7830152851 0.3524447792
111 0.241 0.4078261845 0.7627616464 0.3549354619
112 0.252 0.3864584944 0.7417526459 0.3552941516
113 0.263 0.3664043822 0.7200143918 0.3536100096
114 0.274 0.3475963711 0.6975741571 0.349977786
115 0.285 0.3299649412 0.6744603801 0.3444954388
116 0.296 0.313440321 0.650702664 0.337262343
117 0.307 0.2979538023 0.6263317772 0.3283779749
118 0.318 0.283438678 0.6013796531 0.3179409751
119 0.329 0.2698308835 0.5758793902 0.3060485067
120 0.34 0.2570694087 0.549865252 0.2927958432
121 0.351 0.2450965374 0.5233726671 0.2782761297
122 0.362 0.2338579547 0.4964382292 0.2625802746
123 0.373 0.2233027595 0.4690996971 0.2457969376
124 0.384 0.2133834073 0.4413959945 0.2280125872
125 0.395 0.2040556052 0.4133672103 0.2093116051
126 0.406 0.1952781738 0.3850545985 0.1897764247
127 0.417 0.1870128899 0.356500578 0.1694876881
128 0.428 0.1792243172 0.3277487329 0.1485244158
129 0.439 0.1718796327 0.2988438125 0.1269641798
130 0.45 0.1649484536 0.2698317308 0.1048832772
131 0.461 0.1584026675 0.2407595671 0.08235689961
132 0.472 0.1522162689 0.2116755658 0.05945929696
133 0.483 0.1463652031 0.1826291363 0.03626393321
134 0.494 0.1408272191 0.1536708531 0.01284363402
135 0.505 0.1355817304 0.1248524557 0.01072927471
136 0.516 0.130609686 0.09622684859 0.03438283742
137 0.527 0.1258934501 0.06784810159 0.05804534848
138 0.538 0.1214166899 0.03977144939 0.08164524055
139 0.549 0.1171642731 0.01205329178 0.1051109813
140 0.56 0.1131221719 -0.01524880637 0.1283709783
141 0.571 0.109277376 -0.04207611512 0.1513534911
142 0.582 0.1056178114 -0.06836873947 0.1739865509
143 0.593 0.1021322664 -0.09406561936 0.1961978858
144 0.604 0.0988103237 -0.1191045297 0.2179148534
145 0.615 0.09564229781 -0.1434220802 0.239064378
146 0.626 0.09261917773 -0.1669537156 0.2595728933
147 0.637 0.08973257449 -0.1896337156 0.2793662901
148 0.648 0.08697467298 -0.2113951949 0.2983698679
149 0.659 0.0843381877 -0.2321701029 0.3165082906
150 0.67 0.08181632236 -0.2518892241 0.3337055465
151 0.681 0.07940273265 -0.270482178 0.3498849106
152 0.692 0.07709149218 -0.2878774188 0.364968911
153 0.703 0.07487706123 -0.3040022358 0.378879297
154 0.714 0.07275425794 -0.3187827533 0.3915370112
155 0.725 0.07071823204 -0.3321439303 0.4028621623
156 0.736 0.06876444053 -0.344009561 0.4127740015
157 0.747 0.06688862542 -0.3543022743 0.4211908997
158 0.758 0.06508679324 -0.3629435342 0.4280303274
159 0.769 0.06335519616 -0.3698536395 0.4332088357
160 0.78 0.06169031462 -0.3749517241 0.4366420388
161 0.791 0.06008884135 -0.3781557568 0.4382445981
162 0.802 0.05854766658 -0.3793825411 0.4379302076
163 0.813 0.05706386445 -0.3785477156 0.4356115801
164 0.824 0.05563468043 -0.3755657541 0.4312004345
165 0.835 0.05425751975 -0.3703499648 0.4246074845
166 0.846 0.05292993664 -0.3628124912 0.4157424278
167 0.857 0.05164962444 -0.3528643117 0.4045139361
168 0.868 0.05041440642 -0.3404152395 0.3908296459
169 0.879 0.04922222728 -0.3253739228 0.3745961501
170 0.89 0.0480711453 -0.3076478448 0.3557189901
171 0.901 0.04695932501 -0.2871433236 0.3341026486
172 0.912 0.04588503047 -0.2637655121 0.3096505426
173 0.923 0.04484661896 -0.2374183984 0.2822650174
174 0.934 0.04384253515 -0.2080048053 0.2518473404
175 0.945 0.0428713057 -0.1754263905 0.2182976962
176 0.956 0.04193153419 -0.1395836469 0.1815151811
177 0.967 0.04102189646 -0.1003759021 0.1413977986
178 0.978 0.04014113624 -0.05770131878 0.09784245501
179 0.989 0.03928806105 -0.01145689443 0.05074495547
180 1 0.03846153846 0.03846153846 1.387778781E-16


# Numero de nodos n =8 
0 -0.98 0.0399840064 -0.4780595354 0.5180435418
1 -0.969 0.04085964609 -0.6736770633 0.7145367094
2 -0.958 0.04176394185 -0.816649735 0.8584136769
3 -0.947 0.04269813804 -0.9141202702 0.9568184083
4 -0.936 0.04366354618 -0.972594582 1.016258128
5 -0.925 0.0446615492 -0.9979806422 1.042642191
6 -0.914 0.04569360609 -0.9956257586 1.041319365
7 -0.903 0.0467612569 -0.9703523029 1.01711356
8 -0.892 0.04786612801 -0.9264919286 0.9743580566
9 -0.881 0.04900993799 -0.8679183193 0.9169282573
10 -0.87 0.0501945037 -0.7980785031 0.8482730068
11 -0.859 0.05142174703 -0.7200227733 0.7714445204
12 -0.848 0.05269370205 -0.6364332513 0.6891269534
13 -0.837 0.0540125228 -0.5496511296 0.6036636524
14 -0.826 0.05538049167 -0.4617026304 0.5170831221
15 -0.815 0.0568000284 -0.3743237171 0.4311237455
16 -0.804 0.05827369991 -0.2889835927 0.3472572926
17 -0.793 0.05980423085 -0.2069070215 0.2667112523
18 -0.782 0.06139451501 -0.1290955079 0.1904900229
19 -0.771 0.06304762775 -0.05634736689 0.1193949946
20 -0.76 0.06476683938 0.01072328016 0.05404355922
21 -0.749 0.06655562969 0.07166855172 0.005112922031
22 -0.738 0.06841770377 0.1261898606 0.05777215687
23 -0.727 0.07035700905 0.1741219454 0.1037649364
24 -0.716 0.07237775397 0.2154178462 0.1430400922
25 -0.705 0.0744844281 0.2501347941 0.175650366
26 -0.694 0.07668182411 0.2784209826 0.2017391585
27 -0.683 0.07897506165 0.3005031917 0.22152813
28 -0.672 0.08136961333 0.3166752332 0.2353056199
29 -0.661 0.08387133299 0.3272871892 0.2434158562
30 -0.65 0.08648648649 0.3327354135 0.246248927
31 -0.639 0.08922178528 0.3334532684 0.2442314831
32 -0.628 0.092084423 0.329902568 0.237818145
33 -0.617 0.09508211529 0.3225657003 0.227483585
34 -0.606 0.09822314334 0.311938402 0.2137152587
35 -0.595 0.1015164012 0.298523158 0.1970067568
36 -0.584 0.1049714478 0.2828231996 0.1778517518
37 -0.573 0.1085985627 0.2653370763 0.1567385136
38 -0.562 0.1124088084 0.2465537756 0.1341449672
39 -0.551 0.1164140966 0.2269483648 0.1105342682
40 -0.54 0.1206272618 0.2069781325 0.08635087075
41 -0.529 0.1250621403 0.1870792039 0.06201706369
42 -0.518 0.1297336568 0.1676636076 0.03792995081
43 -0.507 0.1346579184 0.1491167702 0.0144588518
44 -0.496 0.139852316 0.1317954169 0.00805689908
45 -0.485 0.1453356345 0.1160258552 0.02930977929
46 -0.474 0.1511281718 0.1021026208 0.04902555105
47 -0.463 0.1572518664 0.09028746368 0.0669644027
48 -0.452 0.1637304342 0.080808655 0.08292177921
49 -0.441 0.1705895147 0.07386059293 0.09672892178
50 -0.43 0.1778568253 0.06960368909 0.1082531362
51 -0.419 0.1855623234 0.06816451547 0.117397808
52 -0.408 0.1937383757 0.06963619334 0.1241021824
53 -0.397 0.2024199303 0.07407900559 0.1283409247
54 -0.386 0.2116446909 0.08152121477 0.1301234761
55 -0.375 0.2214532872 0.09196006918 0.129493218
56 -0.364 0.2318894351 0.1053629803 0.1265264548
57 -0.353 0.243000079 0.1216688548 0.1213312242
58 -0.342 0.2548355037 0.140789565 0.1140459387
59 -0.331 0.2674494019 0.1626115429 0.104837859
60 -0.32 0.2808988764 0.1869974815 0.09390139493
61 -0.309 0.2952443516 0.2137881296 0.081456222
62 -0.298 0.3105493618 0.2428041659 0.06774519587
63 -0.287 0.3268801739 0.2738481382 0.0530320357
64 -0.276 0.3443051921 0.3067064543 0.03759873779
65 -0.265 0.3628940803 0.3411514131 0.02174266715
66 -0.254 0.3827165219 0.3769432616 0.005773260222
67 -0.243 0.4038405234 0.4138322677 0.009991744278
68 -0.232 0.4263301501 0.4515607958 0.02523064572
69 -0.221 0.4502425682 0.4898653763 0.03962280816
70 -0.21 0.4756242568 0.5284787562 0.05285449941
71 -0.199 0.5025062499 0.5671319222 0.06462567232
72 -0.188 0.5308982799 0.6055560867 0.07465780681
73 -0.177 0.5607817297 0.6434846269 0.0827028972
74 -0.166 0.5921013678 0.6806549695 0.0885536017
75 -0.155 0.6247559547 0.716810411 0.09205445625
76 -0.144 0.6585879874 0.7517018684 0.093113881
77 -0.133 0.6933730867 0.7850895506 0.09171646388
78 -0.122 0.7288098535 0.8167445456 0.08793469213
79 -0.111 0.7645113817 0.8464503159 0.08193893426
80 -0.1 0.8 0.874004097 0.07400409703
81 -0.089 0.8347071221 0.8992181936 0.06451107147
82 -0.078 0.8679802101 0.9219211681 0.053940958
83 -0.067 0.8990986536 0.9419589172 0.04286026364
84 -0.056 0.9272997033 0.9591956335 0.03189593022
85 -0.045 0.9518143962 0.9735146461 0.0217002499
86 -0.034 0.9719117504 0.9848191405 0.01290739013
87 -0.023 0.9869476178 0.9930327526 0.006085134814
88 -0.012 0.9964129135 0.9981000352 0.001687121717
89 -0.001 0.9999750006 0.999986797 1.179640184E-05
90 0.01 0.9975062344 0.9986803101 0.001174075701
91 0.021 0.9890952251 0.9941893877 0.005094162562
92 0.032 0.9750390016 0.9865443305 0.01150532891
93 0.043 0.9558173433 0.9757967421 0.01997939878
94 0.054 0.9320533134 0.9620192146 0.0299659012
95 0.065 0.9044657999 0.9453048849 0.04083908505
96 0.076 0.8738203425 0.9257668633 0.05194652077
97 0.087 0.8408837688 0.903537537 0.06265376818
98 0.098 0.8063865817 0.8787677508 0.07238116906
99 0.109 0.770995162 0.8516258672 0.08063070524
100 0.12 0.7352941176 0.822296711 0.08700259331
101 0.131 0.6997778205 0.7909803999 0.09120257931
102 0.142 0.6648494116 0.7578910683 0.09304165673
103 0.153 0.6308252772 0.7232554871 0.09243020988
104 0.164 0.5979430758 0.6873115845 0.08936850866
105 0.175 0.5663716814 0.6503068762 0.08393519477
106 0.186 0.5362217813 0.612496808 0.07627502664
107 0.197 0.5075562436 0.5741430195 0.06658677589
108 0.208 0.4803996925 0.5355115355 0.055111843
109 0.219 0.4547469901 0.496870893 0.04212390283
110 0.23 0.4305705059 0.4584902104 0.0279197045
111 0.241 0.4078261845 0.4206372105 0.01281102604
112 0.252 0.3864584944 0.3835762027 0.002882291621
113 0.263 0.3664043822 0.3475660367 0.01883834549
114 0.274 0.3475963711 0.3128580359 0.03473833515
115 0.285 0.3299649412 0.2796939222 0.05027101901
116 0.296 0.313440321 0.2483037416 0.06513657937
117 0.307 0.2979538023 0.2189038034 0.07904999886
118 0.318 0.283438678 0.1916946439 0.09174403418
119 0.329 0.2698308835 0.1668590268 0.1029718567
120 0.34 0.2570694087 0.1445599939 0.1125094148
121 0.351 0.2450965374 0.124938978 0.1201575594
122 0.362 0.2338579547 0.108113993 0.1257439617
123 0.373 0.2233027595 0.09417791374 0.1291248457
124 0.384 0.2133834073 0.08319686216 0.1301865451
125 0.395 0.2040556052 0.07520871285 0.1288468923
126 0.406 0.1952781738 0.07022173467 0.1250564391
