# Numero de nodos n =4 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
0 -0.989 0.03928806105 -0.01145689443 0.05074495547
1 -0.978 0.04014113624 -0.05770131878 0.09784245501
2 -0.967 0.04102189646 -0.1003759021 0.1413977986
3 -0.956 0.04193153419 -0.1395836469 0.1815151811
4 -0.945 0.0428713057 -0.1754263905 0.2182976962
5 -0.934 0.04384253515 -0.2080048053 0.2518473404
6 -0.923 0.04484661896 -0.2374183984 0.2822650174
7 -0.912 0.04588503047 -0.2637655121 0.3096505426
8 -0.901 0.04695932501 -0.2871433236 0.3341026486
9 -0.89 0.0480711453 -0.3076478448 0.3557189901
10 -0.879 0.04922222728 -0.3253739228 0.3745961501
11 -0.868 0.05041440642 -0.3404152395 0.3908296459
12 -0.857 0.05164962444 -0.3528643117 0.4045139361
13 -0.846 0.05292993664 -0.3628124912 0.4157424278
14 -0.835 0.05425751975 -0.3703499648 0.4246074845
15 -0.824 0.05563468043 -0.3755657541 0.4312004345
16 -0.813 0.05706386445 -0.3785477156 0.4356115801
17 -0.802 0.05854766658 -0.3793825411 0.4379302076
18 -0.791 0.06008884135 -0.3781557568 0.4382445981
19 -0.78 0.06169031462 -0.3749517241 0.4366420388
20 -0.769 0.06335519616 -0.3698536395 0.4332088357
21 -0.758 0.06508679324 -0.3629435342 0.4280303274
22 -0.747 0.06688862542 -0.3543022743 0.4211908997
23 -0.736 0.06876444053 -0.344009561 0.4127740015
24 -0.725 0.07071823204 -0.3321439303 0.4028621623
25 -0.714 0.07275425794 -0.3187827533 0.3915370112
26 -0.703 0.07487706123 -0.3040022358 0.378879297
27 -0.692 0.07709149218 -0.2878774188 0.364968911
28 -0.681 0.07940273265 -0.270482178 0.3498849106
29 -0.67 0.08181632236 -0.2518892241 0.3337055465
30 -0.659 0.0843381877 -0.2321701029 0.3165082906
31 -0.648 0.08697467298 -0.2113951949 0.2983698679
32 -0.637 0.08973257449 -0.1896337156 0.2793662901
33 -0.626 0.09261917773 -0.1669537156 0.2595728933
34 -0.615 0.09564229781 -0.1434220802 0.239064378
